,file,time_step,step,luck_skill,score,skill_luck_rating,molexy,mole_x,mole_y,rel_x,rel_y,distance
167,Anna.log,23059.0,168.0,0.19,8.0,0.0083,404479.0,404.0,479.0,-4.0,11.5,12.175795661885921
168,Anna.log,23166.0,169.0,0.19,8.0,0.03,381295.0,381.0,295.0,5.0,0.5,5.024937810560445
169,Anna.log,23279.0,170.0,0.19,4.0,0.0116,179169.0,179.0,169.0,-4.0,13.5,14.080127840328723
170,Anna.log,23430.0,171.0,0.19,4.0,0.0116,119366.0,119.0,366.0,5.0,0.5,5.024937810560445
171,Anna.log,23583.0,172.0,0.19,4.0,0.0116,60311.0,603.0,11.0,4.0,5.5,6.800735254367722
172,Anna.log,23729.0,173.0,0.19,4.0,0.0116,9543.0,95.0,43.0,-1.0,1.5,1.8027756377319946
173,Anna.log,23804.0,174.0,0.19,4.0,0.0116,9543.0,95.0,43.0,0.0,3.5,3.5
174,Anna.log,23924.0,175.0,0.19,7.0,0.015,381295.0,381.0,295.0,-1.0,7.5,7.566372975210778
175,Anna.log,24107.0,176.0,0.19,7.0,0.015,60311.0,603.0,11.0,1.0,-0.5,1.118033988749895
176,Anna.log,24222.0,177.0,0.19,7.0,0.015,464119.0,464.0,119.0,10.0,-5.5,11.412712210513327
177,Anna.log,24366.0,178.0,0.19,7.0,0.015,60311.0,603.0,11.0,-8.0,-7.5,10.965856099730654
178,Anna.log,24465.0,179.0,0.19,7.0,0.0066,464119.0,464.0,119.0,-2.0,-7.5,7.762087348130012
179,Anna.log,24656.0,180.0,0.19,7.0,0.0066,404479.0,404.0,479.0,-11.0,5.5,12.298373876248844
180,Anna.log,24785.0,181.0,0.19,6.0,0.0016,636366.0,636.0,366.0,10.0,1.5,10.111874208078342
181,Anna.log,24918.0,182.0,0.19,5.0,0.0133,179169.0,179.0,169.0,-13.0,-0.5,13.009611831257688
182,Anna.log,25087.0,183.0,0.19,5.0,0.0133,119366.0,119.0,366.0,-10.0,1.5,10.111874208078342
183,Anna.log,25223.0,184.0,0.19,9.0,0.04,636366.0,636.0,366.0,-1.0,-2.5,2.692582403567252
184,Anna.log,25344.0,185.0,0.19,7.0,0.0133,464119.0,464.0,119.0,-6.0,1.5,6.18465843842649
185,Anna.log,25499.0,186.0,0.19,7.0,0.0133,636366.0,636.0,366.0,-3.0,-0.5,3.0413812651491097
186,Anna.log,25611.0,187.0,0.19,9.0,0.01,381295.0,381.0,295.0,0.0,0.5,0.5
187,Anna.log,25758.0,188.0,0.19,9.0,0.01,9543.0,95.0,43.0,0.0,-0.5,0.5
188,Anna.log,25899.0,189.0,0.19,7.0,0.015,636366.0,636.0,366.0,-8.0,1.5,8.139410298049853
189,Anna.log,26078.0,190.0,0.19,7.0,0.015,119366.0,119.0,366.0,-2.0,-1.5,2.5
190,Anna.log,26207.0,191.0,0.19,7.0,0.01,636366.0,636.0,366.0,-4.0,-5.5,6.800735254367722
191,Anna.log,26458.0,192.0,0.19,7.0,0.01,9543.0,95.0,43.0,3.0,2.5,3.905124837953327
192,Anna.log,26610.0,193.0,0.19,8.0,0.0066,636366.0,636.0,366.0,3.0,2.5,3.905124837953327
193,Anna.log,26781.0,194.0,0.8,1.0,0.2516,636366.0,636.0,366.0,2.0,-6.5,6.800735254367722
194,Anna.log,26942.0,195.0,0.8,3.0,0.1466,179169.0,179.0,169.0,16.0,-5.5,16.91892431568863
195,Anna.log,27121.0,196.0,0.8,3.0,0.1466,464119.0,464.0,119.0,3.0,-3.5,4.6097722286464435
196,Anna.log,27230.0,197.0,0.8,2.0,0.785,381295.0,381.0,295.0,2.0,7.5,7.762087348130012
197,Anna.log,27398.0,198.0,0.8,5.0,0.005,658232.0,658.0,232.0,5.0,11.5,12.539936203984453
198,Anna.log,27536.0,199.0,0.8,5.0,0.005,179169.0,179.0,169.0,-13.0,-5.5,14.115594213493104
199,Anna.log,27689.0,200.0,0.8,5.0,0.005,658232.0,658.0,232.0,-5.0,2.5,5.5901699437494745
200,Anna.log,27796.0,201.0,0.8,4.0,0.005,658232.0,658.0,232.0,1.0,-0.5,1.118033988749895
201,Anna.log,27976.0,202.0,0.8,4.0,0.005,179169.0,179.0,169.0,-8.0,6.5,10.307764064044152
202,Anna.log,28088.0,203.0,0.8,9.0,0.0033,464119.0,464.0,119.0,9.0,4.5,10.062305898749054
